Title,EmploymentType,Location,Closingdate,Agency,Link
Corrections Officer: Greensville Correctional Center,Full-Time (Salaried),Greensville,,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/corrections-officer-greensville-correctional-center-greensville-virginia-united-states
Corrections Officer: Sussex I and II State Prison Complex,Full-Time (Salaried),"Surry
  Sussex",,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/corrections-officer-sussex-i-and-ii-state-prison-complex-surry-virginia-united-states-sussex
Senior Software QA Analyst,Full-Time (Salaried),Richmond,Mar 2 2023 at 23:55 EST,VA Workers' Compensation Comm,https://www.jobs.virginia.gov/jobs/senior-software-qa-analyst-richmond-virginia-united-states
Chief Ranger Law Enforcement - Widewater State Park,Full-Time (Salaried),Stafford,Feb 27 2023 at 23:55 EST,Dept Conservation & Recreation,https://www.jobs.virginia.gov/jobs/chief-ranger-law-enforcement-widewater-state-park-stafford-virginia-united-states
Corrections Sergeant: Augusta Correctional Center #00693,Full-Time (Salaried),Augusta County,Feb 24 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/corrections-sergeant-augusta-correctional-center-augusta-county-virginia-united-states
Corrections Officer: River North Correctional Center #00378,Full-Time (Salaried),Grayson,,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/corrections-officer-river-north-correctional-center-grayson-virginia-united-states
Corrections Officer: Bland Correctional Center #00313,Full-Time (Salaried),Bland,,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/corrections-officer-bland-correctional-center-bland-virginia-united-states
Corrections Officer: Keen Mountain Correctional Center #00253,Full-Time (Salaried),Buchanan,,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/corrections-officer-keen-mountain-correctional-center-buchanan-virginia-united-states
Corrections Officer: Pocahontas St Correctional Center #00373,Full-Time (Salaried),Tazewell,,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/corrections-officer-pocahontas-st-correctional-center-tazewell-virginia-united-states
Corrections Officer: Green Rock Correctional Center #00203,Full-Time (Salaried),Pittsylvania,,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/corrections-officer-green-rock-correctional-center-pittsylvania-virginia-united-states
Corrections Officer: Harrisonburg CCAP #01370,Full-Time (Salaried),"Harrisonburg
  Rockingham
  Shenandoah",,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/corrections-officer-harrisonburg-ccap-harrisonburg-virginia-united-states-rockingham-shenandoah
Corrections Officer: Red Onion State Prison #00560,Full-Time (Salaried),"Wise, Virginia",,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/corrections-officer-pound-virginia-united-states
Corrections Officer: Cold Springs CCAP #01179,Full-Time (Salaried),Augusta County,,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/corrections-officer-cold-springs-ccap-greenville-virginia-united-states
Corrections Officer: Augusta Correctional Center #00111,Full-Time (Salaried),"Albemarle County
  Alleghany
  Amherst
  Augusta County
  Covington

            Albemarle County
  Alleghany
  Amherst",,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/corrections-officer-craigsville-virginia-united-states
Casework Counselor: Augusta Correctional Center #00073,Full-Time (Salaried),Augusta County,Feb 24 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/casework-counselor-augusta-correctional-center-augusta-county-virginia-united-states
Cognitive Counselor: P&P District #13 Lynchburg #P1347,Full-Time (Salaried),Lynchburg,Feb 24 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/cognitive-counselor-p-p-district-13-lynchburg-lynchburg-virginia-united-states
Business Software Applications Teacher:  Augusta Correctional Center #ED003,Full-Time (Salaried),"Outside of State
  Accomac
  Albemarle County
  Alexandria
  Alleghany
  Amelia
  Amherst
  Appomattox
  Arlington
  Augusta County
  Bath
  Bedford
  Bedford County
  Bland
  Botetourt County
  Bristol
  Brunswick
  Buchanan
  Buckingham
  Buena Vista
  Campbell
  Caroline
  Carroll
  Charles City
  Charlotte Court House, Virginia
  Charlottesville
  Chesapeake
  Chesterfield
  Clarke, Virginia
  Clifton Forge
  Colonial Heights
  Covington
  Craig
  Culpepper
  Cumberland
  Danville
  Dickenson
  Dinwiddie
  Emporia
  Essex
  Fairfax
  Fairfax County
  Falls Church
  Fauquier County
  Floyd
  Fluvanna
  Franklin
  Franklin County
  Fredericksburg
  Galax
  Giles, Virginia
  Gloucester
  Goochland
  Gordonsville
  Grayson
  Greene
  Greensville
  Halifax
  Hampton
  Hanover
  Harrisonburg
  Henrico
  Henry
  Highland
  Hopewell
  Isle Of Wight
  James City
  King & Queen
  King George
  King William
  Lancaster
  Lee
  Lexington
  Loudoun County
  Louisa
  Lunenburg
  Lynchburg
  Madison
  Manassas
  Manassas Park
  Martinsville
  Mathews
  Mecklenburg
  Melfa
  Middlesex
  Montgomery County
  Nelson
  New Kent
  Newport News
  Norfolk
  Northampton
  Northumberland
  Norton
  Nottoway
  Orange
  Page
  Patrick
  Petersburg
  Pittsylvania
  Poquoson
  Portsmouth
  Powhatan
  Prince Edward
  Prince George
  Prince William
  Pulaski
  Radford
  Rappahannock
  Richmond
  Richmond County
  Roanoke
  Roanoke County
  Rockbridge County
  Rockingham
  Russell
  Salem
  Scott
  Shenandoah
  Smyth
  South Boston
  Southampton
  Spotsylvania
  Stafford
  Staunton
  Suffolk
  Surry
  Sussex
  Tazewell
  Virginia Beach
  Warren
  Washington
  Waynesboro
  Westmoreland
  Williamsburg
  Winchester
  Wise, Virginia
  Wythe
  York

            Outside of State
  Accomac
  Albemarle County",,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/business-software-applications-teacher-craigsville-virginia-united-states
Casework Counselor: Cold Springs Correctional Unit 10 #10041,Full-Time (Salaried),Augusta County,Feb 24 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/casework-counselor-cold-springs-correctional-unit-10-augusta-county-virginia-united-states
Human Resources Business Partner,Full-Time (Salaried),Richmond,Mar 3 2023 at 23:55 EST,Virginia Museum of Fine Arts,https://www.jobs.virginia.gov/jobs/human-resources-business-partner-richmond-virginia-united-states
Construction Inspector Senior,Full-Time (Salaried),"Mecklenburg
  Petersburg",Mar 3 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/construction-inspector-senior-mecklenburg-virginia-united-states-petersburg
Senior Program Analyst - Asset Management Division,Full-Time (Salaried),Richmond,Mar 3 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/senior-program-analyst-asset-management-division-richmond-virginia-united-states
Civil Engineer - Land Development,Full-Time (Salaried),Fauquier County,Feb 23 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/civil-engineer-land-development-warrenton-virginia-united-states
Certified Nurse Practitioner Senior (MRG),Full-Time (Salaried),Bristol,,Department of Health,https://www.jobs.virginia.gov/jobs/certified-nurse-practitioner-senior-mrg-bristol-virginia-united-states-washington
Engineer-Preliminary Engineering (NOVA District),Full-Time (Salaried),Fairfax County,Feb 23 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/engineer-preliminary-engineering-nova-district-fairfax-virginia-united-states
Chief Technology Officer,Full-Time (Salaried),Richmond,Feb 24 2023 at 23:55 EST,Dept of Criminal Justice Svcs,https://www.jobs.virginia.gov/jobs/chief-technology-officer-richmond-virginia-united-states
Financial Program Coordinator,Full-Time (Salaried),Salem,Feb 27 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/financial-program-coordinator-salem-virginia-united-states
Mechanic/ Equipment Repair Technician,Full-Time (Salaried),Loudoun County,Feb 28 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/mechanic-equipment-repair-technician-loudoun-county-virginia-united-states
Mechanic/ Equipment Repair Technician,Full-Time (Salaried),"Alexandria
  Arlington
  Fairfax County
  Prince William

            Alexandria
  Arlington
  Fairfax County",Feb 28 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/mechanic-equipment-repair-technician-alexandria-virginia-united-states-arlington-fairfax-county-prince-william
Senior Environmental Planner,Full-Time (Salaried),Richmond,Feb 27 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/senior-environmental-planner-richmond-virginia-united-states
Placement Counselor - #ARS01132,Full-Time (Salaried),Charlottesville,Mar 3 2023 at 23:55 EST,Dept for Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/placement-counselor-ars01132-charlottesville-virginia-united-states
VIB Associate / Driver/Shipping/Receiving - #BVIIR010,Full-Time (Salaried),Richmond,,Dept for Blind/Vision Impaired,https://www.jobs.virginia.gov/jobs/vib-associate-driver-shipping-receiving-bviir010-richmond-virginia-united-states
Training & Development Coord. Sr.,Full-Time (Salaried),Hanover,,Department of Juvenile Justice,https://www.jobs.virginia.gov/jobs/training-development-coord-sr-hanover-virginia-united-states
Special Education Teacher (Adult): Sussex State Prison Complex - #ED019,Full-Time (Salaried),Sussex,,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/special-education-teacher-adult-sussex-state-prison-complex-ed019-sussex-virginia-united-states
Adult Education Teacher: Sussex State Prison Complex - #ED003,Full-Time (Salaried),Sussex,,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/adult-education-teacher-sussex-state-prison-complex-ed003-sussex-virginia-united-states
Program Support Technician,Full-Time (Salaried),North Chesterfield,Feb 28 2023 at 23:55 EST,Department of State Police,https://www.jobs.virginia.gov/jobs/program-support-technician-virginia-united-states-lancaster-lee-loudoun-county-louisa-lunenburg-lynchburg-madison-manassas-manassas-park-martinsville-math-d5b75858-a2ae-452b-b4ed-0cf767ae0bda
Project Coordinator,Full-Time (Salaried),Hanover,,Department of Juvenile Justice,https://www.jobs.virginia.gov/jobs/project-coordinator-hanover-virginia-united-states
Relations Database Administrator,Full-Time (Salaried),North Chesterfield,Feb 28 2023 at 23:55 EST,Department of State Police,https://www.jobs.virginia.gov/jobs/relations-database-administrator-virginia-united-states-lancaster-lee-loudoun-county-louisa-lunenburg-lynchburg-madison-manassas-manassas-park-martinsville-mathews-mecklenburg-melfa-middlesex
Computer Systems Engineer Senior,Full-Time (Salaried),North Chesterfield,Feb 28 2023 at 23:55 EST,Department of State Police,https://www.jobs.virginia.gov/jobs/computer-systems-engineer-senior-virginia-united-states-lancaster-lee-loudoun-county-louisa-lunenburg-lynchburg-madison-manassas-manassas-park-martinsville-mathews-mecklenburg-melfa-middlesex
OEBS Relational Database Administrator,Full-Time (Salaried),North Chesterfield,Feb 28 2023 at 23:55 EST,Department of State Police,https://www.jobs.virginia.gov/jobs/benefits-assistant-virginia-united-states-lancaster-lee-loudoun-county-louisa-lunenburg-lynchburg-madison-manassas-manassas-park-martinsville-mathews-meck-ba4cbd66-c299-48ae-978c-9b6322f696a8
Systems Owner and Analyst,Full-Time (Salaried),Richmond,Mar 7 2023 at 23:55 EST,Dept of Housing & Cmnty Devel,https://www.jobs.virginia.gov/jobs/systems-owner-and-analyst-richmond-virginia-united-states
IT Quality Assurance Analyst - Early Childhood Education,Full-Time (Salaried),Richmond,Mar 6 2023 at 23:55 EST,Dept of Ed Central Operations,https://www.jobs.virginia.gov/jobs/it-quality-assurance-analyst-early-childhood-education-richmond-virginia-united-states
Business Manager,Full-Time (Salaried),"North Chesterfield
  Richmond",Feb 23 2023 at 23:55 EST,Department of Juvenile Justice,https://www.jobs.virginia.gov/jobs/business-manager-north-chesterfield-virginia-united-states-richmond
"Assistant Attorney General, Dept. of Medical Assisted Services (OAGDMA04)",Full-Time (Salaried),Richmond,,Attorney General & Dept of Law,https://www.jobs.virginia.gov/jobs/assistant-attorney-general-dept-of-medical-assisted-services-oagdma04-richmond-virginia-united-states-d08bcbee-7a8c-4cbb-8fdc-b6be6678a545
"Assistant Attorney General, Dept. of Medical Assisted Services (OAGDMA04)",Full-Time (Salaried),Richmond,,Attorney General & Dept of Law,https://www.jobs.virginia.gov/jobs/assistant-attorney-general-dept-of-medical-assisted-services-oagdma04-richmond-virginia-united-states-ef74d128-77e5-452b-bae0-6dfa96272550
Maintenance Crew Leader - Kentuck AHQ,Full-Time (Salaried),Pittsylvania,Mar 3 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/maintenance-crew-leader-kentuck-ahq-pittsylvania-virginia-united-states
"Casework Counselor Senior: Indian Creek Correctional Center - #00113, #00202",Full-Time (Salaried),Chesapeake,Feb 27 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/casework-counselor-senior-indian-creek-correctional-center-00113-00202-chesapeake-virginia-united-states
Corrections Sergeant: Indian Creek Correctional Center - #00338,Full-Time (Salaried),Chesapeake,Feb 27 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/corrections-sergeant-indian-creek-correctional-center-00338-chesapeake-virginia-united-states
Corrections Lieutenant: Indian Creek Correctional Center - #00150,Full-Time (Salaried),Chesapeake,Feb 27 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/corrections-lieutenant-indian-creek-correctional-center-00150-chesapeake-virginia-united-states
Compliance Specialist,Full-Time (Salaried),Richmond,Mar 9 2023 at 23:55 EST,Dept of Ed Central Operations,https://www.jobs.virginia.gov/jobs/compliance-specialist-richmond-virginia-united-states
Registered Nurse - Baskerville Correctional Center,Full-Time (Salaried),Mecklenburg,,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/registered-nurse-baskerville-correctional-center-mecklenburg-virginia-united-states
Dentist - Sussex State Prison Complex II,Full-Time (Salaried),Sussex,,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/dentist-sussex-state-prison-complex-ii-sussex-virginia-united-states
Maintenance Operator II - Timberlake AHQ,Full-Time (Salaried),Campbell,Mar 3 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/maintenance-operator-ii-timberlake-ahq-campbell-virginia-united-states
Maintenance Operator - Mt. Airy AHQ,Full-Time (Salaried),Pittsylvania,Mar 3 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/maintenance-operator-mt-airy-ahq-pittsylvania-virginia-united-states
Fleet Administrator Supervisor,Full-Time (Salaried),Stafford,Feb 28 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/fleet-administrator-supervisor-stafford-virginia-united-states
Instructional Designer and Facilitator,Full-Time (Salaried),Richmond,Feb 28 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/instructional-designer-and-facilitator-richmond-virginia-united-states
Speciality Crew Leader Maintanence,Full-Time (Salaried),Chesterfield,Feb 28 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/speciality-crew-leader-maintanence-chesterfield-virginia-united-states
Accountant,Full-Time (Salaried),Richmond,Feb 28 2023 at 23:55 EST,Department of Health,https://www.jobs.virginia.gov/jobs/accountant-richmond-virginia-united-states-052aad5d-6433-4346-8ba6-34710c07dcab
