Title,EmploymentType,PayBand,HiringRange,RecruitmentType,Status,ClosingDate,LocationGeneral,LocationDetail,Link
Software Quality Assurance Engineer,Full-Time (Salaried),NA,"$110,000 - $125,000",General Public - G,Open,NA,Chesterfield,ARBORETUM NORTH CHESTERFIELD,https://www.jobs.virginia.gov/jobs/software-quality-assurance-engineer-north-chesterfield-virginia-united-states
Senior Trial Attorney - Danville,Full-Time (Salaried),NA,"$78,465.00 + State Benefits",General Public - G,Closed,2023-02-27T23:55:00Z,Danville,DANVILLE 315,https://www.jobs.virginia.gov/jobs/senior-trial-attorney-danville-danville-virginia-united-states
Deputy Clerk - Loudoun,Full-Time (Salaried),NA,"negotiable to 43,259 + 15% County Supplement",General Public - G,Open,NA,Loudoun County,Loudoun General District Court,https://www.jobs.virginia.gov/jobs/deputy-clerk-loudoun-leesburg-virginia-united-states
Investigator - northern virginia,Full-Time (Salaried),NA,Negotiable,General Public - G,Open,NA,"Alexandria
  Fairfax
  Fairfax County
  Falls Church
  Fredericksburg

            Alexandria
  Fairfax
  Fairfax County",Virginia State Bar,https://www.jobs.virginia.gov/jobs/investigator-northern-virginia-richmond-virginia-united-states
Spanish Language Court Interpreter - Prince William,Full-Time (Salaried),NA,"negotiable to 65,000",General Public - G,Open,NA,Fairfax,Supreme Court of Virginia,https://www.jobs.virginia.gov/jobs/spanish-language-court-interpreter-prince-william-richmond-virginia-united-states
Commission Veterinarian,Full-Time (Salaried),NA,"Up to $75,000",General Public - G,Open,NA,Henrico,Virginia Racing Commission,https://www.jobs.virginia.gov/jobs/commission-veterinarian-richmond-virginia-united-states
Administrative Assistant,Full-Time (Salaried),NA,"Maximum Salary $29,772",General Public - G,Open,NA,Henrico,Deaf & Hard of Hearing,https://www.jobs.virginia.gov/jobs/administrative-assistant-henrico-virginia-united-states
Aging Programs Technical Specialist (Restricted) - #R1190,Full-Time (Salaried),NA,"Maximum Salary $60,000",General Public - G,Open,NA,Henrico,Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/aging-programs-technical-specialist-restricted-r1190-henrico-virginia-united-states
RN Unit Manager,Full-Time (Salaried),NA,"$85,000 - $95,000",General Public - G,Open,NA,Virginia Beach,J&C VCC,https://www.jobs.virginia.gov/jobs/rn-unit-manager-virginia-beach-virginia-united-states
Assistant Director of Nursing (ADON),Full-Time (Salaried),NA,"$85,000 - $95,000",General Public - G,Open,NA,Virginia Beach,J&C VCC,https://www.jobs.virginia.gov/jobs/assistant-director-of-nursing-adon-virginia-beach-virginia-united-states
Dental Assistant,Full-Time (Salaried),NA,"$31,500 - $46,444",General Public - G,Open,NA,Richmond County,Haynesville Correctional Ctr,https://www.jobs.virginia.gov/jobs/dental-assistant-haynesville-virginia-united-states
Infection Control Preventionist,Full-Time (Salaried),NA,"$80,000 - $90,000",General Public - G,Open,NA,Virginia Beach,J&C VCC,https://www.jobs.virginia.gov/jobs/infection-control-preventionist-virginia-beach-virginia-united-states
Mental Health Counselor - #WWRW0131,Full-Time (Salaried),NA,Salary commensurate with experience,General Public - G,Open,NA,Augusta County,Wilson Wkfc Rehab Ctn,https://www.jobs.virginia.gov/jobs/mental-health-counselor-wwrw0131-fishersville-virginia-united-states
Vocational Rehabilitation Counselor - #00541,Full-Time (Salaried),NA,"The minimum starting salary $49,613 commensurate with experience",General Public - G,Open,NA,Portsmouth,Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/vocational-rehabilitation-counselor-00541-henrico-virginia-united-states
"Deputy Chief, Fisheries Management",Full-Time (Salaried),NA,"$70,000-$90,000",General Public - G,Closed,2023-02-28T00:00:00Z,Hampton,main location,https://www.jobs.virginia.gov/jobs/deputy-chief-fisheries-management-fort-monroe-virginia-united-states
Human Resource Recruiting Specialist,Full-Time (Salaried),NA,"$55,000 - $65,000",General Public - G,Open,NA,Virginia Beach,J&C VCC,https://www.jobs.virginia.gov/jobs/human-resource-recruiting-specialist-virginia-beach-virginia-united-states
Human Resource Analyst,Full-Time (Salaried),NA,"$65,000 - $75,000",General Public - G,Open,NA,Virginia Beach,J&C VCC,https://www.jobs.virginia.gov/jobs/human-resource-analyst-virginia-beach-virginia-united-states
Accounts Payable Specialist,Full-Time (Salaried),NA,"$60,000 - $70,000",General Public - G,Open,NA,Virginia Beach,J&C VCC,https://www.jobs.virginia.gov/jobs/accounts-payable-specialist-virginia-beach-virginia-united-states
Receptionist (Days),Full-Time (Salaried),NA,"$33,000 - $43,000",General Public - G,Open,NA,Virginia Beach,J&C VCC,https://www.jobs.virginia.gov/jobs/receptionist-days-virginia-beach-virginia-united-states
Certified Nursing Assistant,Full-Time (Salaried),NA,"$41,600.00 -$44,720.00",General Public - G,Open,NA,Roanoke,VVCC,https://www.jobs.virginia.gov/jobs/certified-nursing-assistant-roanoke-virginia-united-states
Assistant Director of Environmental Services,Full-Time (Salaried),NA,"$45,000 - $55,000",General Public - G,Open,NA,Virginia Beach,J&C VCC,https://www.jobs.virginia.gov/jobs/assistant-director-of-environmental-services-virginia-beach-virginia-united-states
Director of Rehab,Full-Time (Salaried),NA,"$100,000 - $110,000",General Public - G,Open,NA,Virginia Beach,J&C VCC,https://www.jobs.virginia.gov/jobs/director-of-rehab-virginia-beach-virginia-united-states
Assisted Living Registered Medication Aide,Full-Time (Salaried),NA,"$23,727 - $32,000",General Public - G,Open,NA,Roanoke,Virginia Veterans Care Center,https://www.jobs.virginia.gov/jobs/assisted-living-registered-medication-aide-roanoke-virginia-united-states
Floor Technician,Full-Time (Salaried),NA,"$27,872 - $28,621",General Public - G,Open,NA,Roanoke,Virginia Veterans Care Center,https://www.jobs.virginia.gov/jobs/floor-technician-roanoke-virginia-united-states-5d0fef25-bf32-4e76-8398-818e8fc1f929
Real Estate Legal Specialist - DR008,Full-Time (Salaried),NA,"$90,000 - $100,000",General Public - G,Open,NA,Richmond,Washington Building,https://www.jobs.virginia.gov/jobs/real-estate-legal-specialist-dr008-richmond-virginia-united-states
Lead Senior Contract Officer - 0P015,Full-Time (Salaried),NA,"$75,000 - $81,000",General Public - G,Open,NA,Richmond,Washington Building,https://www.jobs.virginia.gov/jobs/lead-senior-contract-officer-0p015-richmond-virginia-united-states
Deputy Clerk - Emporia/Greensville,Full-Time (Salaried),NA,"negotiable to $35,923",General Public - G,Open,2023-03-10T23:55:00Z,Emporia,6th Dist. CSU Emporia,https://www.jobs.virginia.gov/jobs/deputy-clerk-emporia-greensville-emporia-virginia-united-states
Deputy Clerk - Arlington,Full-Time (Salaried),NA,"Negotiable up to $43,259 + 15% County stipend",General Public - G,Closing soon,2023-03-06T23:55:00Z,Arlington,Arlington J&DR Court,https://www.jobs.virginia.gov/jobs/deputy-clerk-arlington-arlington-virginia-united-states
Software Quality Assurance Engineer,Full-Time (Salaried),NA,"$110,000 - $125,000",General Public - G,Closed,2023-02-25T23:55:00Z,Chesterfield,ARBORETUM NORTH CHESTERFIELD,https://www.jobs.virginia.gov/jobs/software-quality-assurance-engineer-north-chesterfield-virginia-united-states
Supervising Deputy Clerk - Arlington,Full-Time (Salaried),NA,"Negotiable up to $47,437 + 15% County stipend",General Public - G,Closing soon,2023-03-06T23:55:00Z,Arlington,Arlington J&DR Court,https://www.jobs.virginia.gov/jobs/supervising-deputy-clerk-arlington-arlington-virginia-united-states
Identity and Access Management (IAM) Lead,Full-Time (Salaried),NA,"$100,000 - $130,000",State Employee Only - E,Open,2023-03-31T23:55:00Z,Richmond,VA Information Technologies,https://www.jobs.virginia.gov/jobs/identity-and-access-management-iam-lead-richmond-virginia-united-states
Wildlife Nongame Program Manager,Full-Time (Salaried),5,"starting at $55,000 (salary will be commensurate with experience)",General Public - G,Open,2023-03-10T23:55:00Z,Henrico,Dept of Wildlife Resources,https://www.jobs.virginia.gov/jobs/wildlife-nongame-program-manager-henrico-virginia-united-states
CO - P4094 &amp; P4120 - Water Withdrawal Compliance Coordinator,Full-Time (Salaried),5,"$50,811 – $85,000",General Public - G,Closed,2023-03-03T23:55:00Z,Richmond,Dept of Environmental Quality,https://www.jobs.virginia.gov/jobs/co-p4094-amp-p4120-water-withdrawal-compliance-coordinator-bristol-virginia-united-states-accomac-albemarle-county-alexandria-alleghany-amelia-amherst-appomattox-arlington-augusta-county-bath
Infrastructure Integrations Manager,Full-Time (Salaried),NA,"$120,000 - $150,000",General Public - G,Closed,2023-03-03T23:55:00Z,Richmond,VA Information Technologies,https://www.jobs.virginia.gov/jobs/infrastructure-integrations-manager-richmond-virginia-united-states
Public Health Nurse Supervisor,Full-Time (Salaried),NA,"$73,000-$81,500",General Public - G,Closing soon,2023-03-07T23:55:00Z,Richmond,RICHMOND-HQ,https://www.jobs.virginia.gov/jobs/public-health-nurse-supervisor-richmond-virginia-united-states
Maintenance Supervisor,Full-Time (Salaried),NA,"$45,039- $62,000",General Public - G,Open,2023-03-12T23:55:00Z,"Hampton
  Newport News",Hampton Roads Bridge Tunnel,https://www.jobs.virginia.gov/jobs/maintenance-supervisor-hampton-virginia-united-states-newport-news
Probation Officer: P&P District #18 Norton #P1819,Full-Time (Salaried),NA,"$42,500 - $47,000",General Public - G,Open,2023-03-10T23:55:00Z,Norton,Norton P&P,https://www.jobs.virginia.gov/jobs/probation-officer-p-p-district-18-norton-p1819-norton-virginia-united-states
Policy Analyst #01049,Full-Time (Salaried),5,"Up to $78,000 annually. Excellent State Benefits",General Public - G,Open,2023-03-10T23:55:00Z,Richmond,VDACS CENTRAL HEADQUARTERS,https://www.jobs.virginia.gov/jobs/policy-analyst-01049-richmond-virginia-united-states
Alternate Project Delivery Senior Engineer,Full-Time (Salaried),6,"$89,000 - $144,000",General Public - G,Open,2023-03-24T23:55:00Z,Richmond,Dept of Transportation,https://www.jobs.virginia.gov/jobs/alternate-project-delivery-senior-engineer-richmond-virginia-united-states
Associate Director (Energy Efficiency and Housing Rehabilitation),Full-Time (Salaried),6,Negotiable up to $103k,General Public - G,Open,2023-03-17T23:55:00Z,Richmond,Main Street Centre,https://www.jobs.virginia.gov/jobs/associate-director-energy-efficiency-and-housing-rehabilitation-richmond-virginia-united-states
Mitigation Specialist - Staunton,Full-Time (Salaried),NA,"$52,990.00 + State Benefits",General Public - G,Open,2023-03-10T23:55:00Z,Staunton,STAUNTON 301,https://www.jobs.virginia.gov/jobs/mitigation-specialist-staunton-staunton-virginia-united-states-62c5003a-7985-4286-bff2-d8edbfb32d9e
"Manager, Office of Water Supply",Full-Time (Salaried),NA,"$90,000 - $125,000",General Public - G,Open,2023-03-10T23:55:00Z,Richmond,Dept of Environmental Quality,https://www.jobs.virginia.gov/jobs/manager-office-of-water-supply-richmond-virginia-united-states
Audit & Financial Review Team Supervisor #01262,Full-Time (Salaried),5,"Up to $85,000 annually. Excellent State Benefits",General Public - G,Open,2023-03-10T23:55:00Z,Richmond,VDACS CENTRAL HEADQUARTERS,https://www.jobs.virginia.gov/jobs/audit-financial-review-team-supervisor-01262-richmond-virginia-united-states
Certification Specialist – Commercial (Pesticide) #01330,Full-Time (Salaried),3,"Up to $49,350 annually. Excellent State Benefits",General Public - G,Open,2023-03-10T23:55:00Z,Richmond,VDACS CENTRAL HEADQUARTERS,https://www.jobs.virginia.gov/jobs/certification-specialist-commercial-pesticide-01330-richmond-virginia-united-states
Environmental Health Specialist,Full-Time (Salaried),NA,"$39,500-$55,000",General Public - G,Open,NA,Staunton,Cent Shen-August/Staunton,https://www.jobs.virginia.gov/jobs/environmental-health-specialist-staunton-virginia-united-states
Office Services Specialist,Full-Time (Salaried),NA,"$32,787 - $35,000",General Public - G,Open,NA,Harrisonburg,HARRISONBURG,https://www.jobs.virginia.gov/jobs/office-services-specialist-harrisonburg-virginia-united-states
Program Budget & Finance Supervisor #W2119,Full-Time (Salaried),6,"$89,000 - $101,000/yr.",General Public - G,Closed,2023-03-05T23:55:00Z,Richmond,DSS HOME OFFICE,https://www.jobs.virginia.gov/jobs/program-budget-finance-supervisor-w2119-richmond-virginia-united-states
Physical Therapy Assistant #00261; Augusta Correctional Center,Full-Time (Salaried),NA,"$42,998 - $72,000",General Public - G,Open,NA,Augusta County,Augusta Correctional Center,https://www.jobs.virginia.gov/jobs/physical-therapy-assistant-00261-augusta-correctional-center-augusta-county-virginia-united-states
"Agricultural Commodities Inspector (animal feed, fertilizer, lime, seed)  #01288",Full-Time (Salaried),4,"Up to $58,968 annually. This maximum salary can be up to $65,730 if the selected candidate resides in Alexandra, Arlington, Fairfax City, Fairfax, Falls Church, Loudoun, Manassas, Manassas Park, or Prince William. Excellent State Benefits.",General Public - G,Open,2023-03-31T23:55:00Z,"Alexandria
  Arlington
  Clarke, Virginia
  Culpepper
  Fairfax
  Fairfax County
  Falls Church
  Fauquier County
  Fredericksburg
  Greene
  Loudoun County
  Madison
  Manassas
  Manassas Park
  Orange
  Page
  Prince William
  Rappahannock
  Warren
  Winchester

            Alexandria
  Arlington
  Clarke, Virginia","Alexandra, Arlington, Clarke, Culpepper, Fairfax City, Fairfax, Falls Church, Fauquier, Frederick, Greene, Loudoun, Madison, Manassas, Manassas Park, Orange, Page, Prince William, Rappahannock, Warren, and Winchester",https://www.jobs.virginia.gov/jobs/agricultural-commodities-inspector-animal-feed-fertilizer-lime-seed-01288-alexandria-virginia-united-states-arlington-clarke-virginia-culpepper-fairfax-fairfax-county-falls-church-fauquier-co
Maintenance & Operations Supervisor - #BVI00113,Full-Time (Salaried),4,"Maximum Salary $96,186",General Public - G,Open,NA,Richmond,Blind & Vision Impaired,https://www.jobs.virginia.gov/jobs/maintenance-operations-supervisor-bvi00113-richmond-virginia-united-states
Registered Nurse Supervisor Senior (RNCB) #00253; Augusta Correctional Center,Full-Time (Salaried),NA,"$90,000 - $115,000",General Public - G,Open,NA,Augusta County,Augusta Correctional Center,https://www.jobs.virginia.gov/jobs/registered-nurse-supervisor-senior-rncb-00253-augusta-correctional-center-augusta-county-virginia-united-states
Vocational Rehabilitation Counselor - #ARS01166,Full-Time (Salaried),4,"Starting at $49,613 commensurate with experience",General Public - G,Open,NA,Newport News,Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/vocational-rehabilitation-counselor-ars01166-newport-news-virginia-united-states
Assistant Store Manager (ATF) - #BVIIS072,Full-Time (Salaried),UG,"Salary range $36,358 - $49,000",General Public - G,Open,NA,Washington,Blind & Vision Impaired,https://www.jobs.virginia.gov/jobs/assistant-store-manager-atf-bviis072-virginia-united-states-washington-district-of-columbia
Virginia Values Veterans (V3) Western Transition Coordinator-Roanoke,Full-Time (Salaried),NA,"$55,000-$60,000",General Public - G,Open,2023-03-10T23:55:00Z,Roanoke,"Roanoke, Virginia",https://www.jobs.virginia.gov/jobs/virginia-values-veterans-v3-western-transition-coordinator-roanoke-roanoke-virginia-united-states
Building and Grounds Supervisor: Cold Springs CCAP #01163,Full-Time (Salaried),NA,"$43,659 - $68,108",General Public - G,Open,2023-03-10T23:55:00Z,Augusta County,Cold Springs CCAP,https://www.jobs.virginia.gov/jobs/building-and-grounds-supervisor-cold-springs-ccap-01163-augusta-county-virginia-united-states
Office Services Assistant: P&P District #28 Radford #P2804,Full-Time (Salaried),NA,"$31,200 - $38,865",General Public - G,Open,2023-03-10T23:55:00Z,Radford,Radford P&P,https://www.jobs.virginia.gov/jobs/office-services-assistant-p-p-district-28-radford-p2804-radford-virginia-united-states
Probation Officer: P&P District #40 Fincastle #P4011,Full-Time (Salaried),NA,"$42,500 - $47,000",General Public - G,Open,2023-03-10T23:55:00Z,Staunton,Fincastle P&P,https://www.jobs.virginia.gov/jobs/probation-officer-p-p-district-40-fincastle-p4011-staunton-virginia-united-states
Nurse Practitioner (Hourly) : Coffeewood Correctional Center,Full-Time (Salaried),NA,$52.89 - $74.52,General Public - G,Open,NA,Culpepper,Coffeewood Correctional Center,https://www.jobs.virginia.gov/jobs/nurse-practitioner-hourly-coffeewood-correctional-center-culpepper-virginia-united-states
Registered Nurse Supervisor : Coffeewood Correctional Center,Full-Time (Salaried),NA,"$86,000 - $105,000",General Public - G,Open,NA,Culpepper,Coffeewood Correctional Center,https://www.jobs.virginia.gov/jobs/registered-nurse-supervisor-coffeewood-correctional-center-culpepper-virginia-united-states
