Title,Agency,EmploymentType,PayBand,HiringRange,RecruitmentType,Status,ClosingDate,LocationGeneral,LocationDetail,Link,DateFirstRetrieved
Cyber Compliance Lead - Work From Home + Sign On Bonus!,Virginia Employment Commission,Full-Time (Salaried),NA,"$75,000 - $95,000 annually",General Public - G,Open,NA,"Outside of State
  Accomac
  Albemarle County
  Alexandria
  Alleghany
  Amelia
  Amherst
  Appomattox
  Arlington
  Augusta County
  Bath
  Bedford
  Bedford County
  Bland
  Botetourt County
  Bristol
  Brunswick
  Buchanan
  Buckingham
  Buena Vista
  Campbell
  Caroline
  Carroll
  Charles City
  Charlotte Court House, Virginia
  Charlottesville
  Chesapeake
  Chesterfield
  Clarke, Virginia
  Clifton Forge
  Colonial Heights
  Covington
  Craig
  Culpepper
  Cumberland
  Danville
  Dickenson
  Dinwiddie
  Emporia
  Essex
  Fairfax
  Fairfax County
  Falls Church
  Fauquier County
  Floyd
  Fluvanna
  Franklin
  Franklin County
  Fredericksburg
  Galax
  Giles, Virginia
  Gloucester
  Goochland
  Gordonsville
  Grayson
  Greene
  Greensville
  Halifax
  Hampton
  Hanover
  Harrisonburg
  Henrico
  Henry
  Highland
  Hopewell
  Isle Of Wight
  James City
  King & Queen
  King George
  King William
  Lancaster
  Lee
  Lexington
  Loudoun County
  Louisa
  Lunenburg
  Lynchburg
  Madison
  Manassas
  Manassas Park
  Martinsville
  Mathews
  Mecklenburg
  Melfa
  Middlesex
  Montgomery County
  Nelson
  New Kent
  Newport News
  Norfolk
  Northampton
  Northumberland
  Norton
  Nottoway
  Orange
  Page
  Patrick
  Petersburg
  Pittsylvania
  Poquoson
  Portsmouth
  Powhatan
  Prince Edward
  Prince George
  Prince William
  Pulaski
  Radford
  Rappahannock
  Richmond
  Richmond County
  Roanoke
  Roanoke County
  Rockbridge County
  Rockingham
  Russell
  Salem
  Scott
  Shenandoah
  Smyth
  South Boston
  Southampton
  Spotsylvania
  Stafford
  Staunton
  Suffolk
  Surry
  Sussex
  Tazewell
  Virginia Beach
  Warren
  Washington
  Waynesboro
  Westmoreland
  Williamsburg
  Winchester
  Wise, Virginia
  Wythe
  York

            Outside of State
  Accomac
  Albemarle County",TELEWORK LOCATION STATEWIDE,https://www.jobs.virginia.gov/jobs/cyber-compliance-lead-work-from-home-sign-on-bonus-richmond-virginia-united-states,2023-02-23
Housekeeping Worker-Day Shift,Department of General Services,Full-Time (Salaried),NA,"$28,350-$33,075",General Public - G,Open,NA,Richmond,General Assembly Bldg,https://www.jobs.virginia.gov/jobs/housekeeping-worker-day-shift-richmond-virginia-united-states,2023-02-23
Environmental Program Planner,Department Conservation & Recreation,Full-Time (Salaried),NA,"$74,000 - $86,000",General Public - G,Open,NA,Richmond,Main Street Center,https://www.jobs.virginia.gov/jobs/environmental-program-planner-richmond-virginia-united-states,2023-02-23
"Senior IT Auditor - UP TO $10,000 SIGN-ON BONUS",Virginia Employment Commission,Full-Time (Salaried),NA,"$75,000 - $105,000 annually",General Public - G,Open,NA,"Henrico
  Richmond",VEC CENTRAL OFFICE,https://www.jobs.virginia.gov/jobs/senior-it-auditor-up-to-10-000-sign-on-bonus-richmond-virginia-united-states,2023-02-23
Fraud Data Analyst - Work From Home + Sign On Bonus!,Virginia Employment Commission,Full-Time (Salaried),NA,"$80,000 - $110,000 annually",General Public - G,Open,NA,"Outside of State
  Accomac
  Albemarle County
  Alexandria
  Alleghany
  Amelia
  Amherst
  Appomattox
  Arlington
  Augusta County
  Bath
  Bedford
  Bedford County
  Bland
  Botetourt County
  Bristol
  Brunswick
  Buchanan
  Buckingham
  Buena Vista
  Campbell
  Caroline
  Carroll
  Charles City
  Charlotte Court House, Virginia
  Charlottesville
  Chesapeake
  Chesterfield
  Clarke, Virginia
  Clifton Forge
  Colonial Heights
  Covington
  Craig
  Culpepper
  Cumberland
  Danville
  Dickenson
  Dinwiddie
  Emporia
  Essex
  Fairfax
  Fairfax County
  Falls Church
  Fauquier County
  Floyd
  Fluvanna
  Franklin
  Franklin County
  Fredericksburg
  Galax
  Giles, Virginia
  Gloucester
  Goochland
  Gordonsville
  Grayson
  Greene
  Greensville
  Halifax
  Hampton
  Hanover
  Harrisonburg
  Henrico
  Henry
  Highland
  Hopewell
  Isle Of Wight
  James City
  King & Queen
  King George
  King William
  Lancaster
  Lee
  Lexington
  Loudoun County
  Louisa
  Lunenburg
  Lynchburg
  Madison
  Manassas
  Manassas Park
  Martinsville
  Mathews
  Mecklenburg
  Melfa
  Middlesex
  Montgomery County
  Nelson
  New Kent
  Newport News
  Norfolk
  Northampton
  Northumberland
  Norton
  Nottoway
  Orange
  Page
  Patrick
  Petersburg
  Pittsylvania
  Poquoson
  Portsmouth
  Powhatan
  Prince Edward
  Prince George
  Prince William
  Pulaski
  Radford
  Rappahannock
  Richmond
  Richmond County
  Roanoke
  Roanoke County
  Rockbridge County
  Rockingham
  Russell
  Salem
  Scott
  Shenandoah
  Smyth
  South Boston
  Southampton
  Spotsylvania
  Stafford
  Staunton
  Suffolk
  Surry
  Sussex
  Tazewell
  Virginia Beach
  Warren
  Washington
  Waynesboro
  Westmoreland
  Williamsburg
  Winchester
  Wise, Virginia
  Wythe
  York

            Outside of State
  Accomac
  Albemarle County",TELEWORK LOCATION STATEWIDE,https://www.jobs.virginia.gov/jobs/fraud-data-analyst-work-from-home-sign-on-bonus-richmond-virginia-united-states,2023-02-23
Application / User Support Supervisor - Work From Home + Sign On Bonus!,Virginia Employment Commission,Full-Time (Salaried),NA,"$75,000 - $90,000 annually",General Public - G,Open,NA,"Outside of State
  Accomac
  Albemarle County
  Alexandria
  Alleghany
  Amelia
  Amherst
  Appomattox
  Arlington
  Augusta County
  Bath
  Bedford
  Bedford County
  Bland
  Botetourt County
  Bristol
  Brunswick
  Buchanan
  Buckingham
  Buena Vista
  Campbell
  Caroline
  Carroll
  Charles City
  Charlotte Court House, Virginia
  Charlottesville
  Chesapeake
  Chesterfield
  Clarke, Virginia
  Clifton Forge
  Colonial Heights
  Covington
  Craig
  Culpepper
  Cumberland
  Danville
  Dickenson
  Dinwiddie
  Emporia
  Essex
  Fairfax
  Fairfax County
  Falls Church
  Fauquier County
  Floyd
  Fluvanna
  Franklin
  Franklin County
  Fredericksburg
  Galax
  Giles, Virginia
  Gloucester
  Goochland
  Gordonsville
  Grayson
  Greene
  Greensville
  Halifax
  Hampton
  Hanover
  Harrisonburg
  Henrico
  Henry
  Highland
  Hopewell
  Isle Of Wight
  James City
  King & Queen
  King George
  King William
  Lancaster
  Lee
  Lexington
  Loudoun County
  Louisa
  Lunenburg
  Lynchburg
  Madison
  Manassas
  Manassas Park
  Martinsville
  Mathews
  Mecklenburg
  Melfa
  Middlesex
  Montgomery County
  Nelson
  New Kent
  Newport News
  Norfolk
  Northampton
  Northumberland
  Norton
  Nottoway
  Orange
  Page
  Patrick
  Petersburg
  Pittsylvania
  Poquoson
  Portsmouth
  Powhatan
  Prince Edward
  Prince George
  Prince William
  Pulaski
  Radford
  Rappahannock
  Richmond
  Richmond County
  Roanoke
  Roanoke County
  Rockbridge County
  Rockingham
  Russell
  Salem
  Scott
  Shenandoah
  Smyth
  South Boston
  Southampton
  Spotsylvania
  Stafford
  Staunton
  Suffolk
  Surry
  Sussex
  Tazewell
  Virginia Beach
  Warren
  Washington
  Waynesboro
  Westmoreland
  Williamsburg
  Winchester
  Wise, Virginia
  Wythe
  York

            Outside of State
  Accomac
  Albemarle County",TELEWORK LOCATION STATEWIDE,https://www.jobs.virginia.gov/jobs/application-user-support-supervisor-work-from-home-sign-on-bonus-richmond-virginia-united-states,2023-02-23
CO - P4540 - Groundwater Characterization Geologist,Department of Environmental Quality,Full-Time (Salaried),NA,"$50,811 - $96,448",General Public - G,Open,NA,"Henrico
  Richmond",Dept of Environmental Quality,https://www.jobs.virginia.gov/jobs/co-p4540-groundwater-characterization-geologist-richmond-virginia-united-states-72f8aa48-5311-4c75-a050-db758481c45b,2023-02-23
Deputy Solicitor General (OAG00374),Attorney General & Department of Law,Full-Time (Salaried),NA,Commensurate with experience,General Public - G,Open,NA,Richmond,Office of the Attorney General,https://www.jobs.virginia.gov/jobs/deputy-solicitor-general-richmond-virginia-united-states,2023-02-23
CO - P0239 - VPDES POTW & Industrial Waste Water Treatment Compliance Coordinator,Department of Environmental Quality,Full-Time (Salaried),NA,"$50,811 – $85,000",General Public - G,Open,NA,Richmond,Dept of Environmental Quality,https://www.jobs.virginia.gov/jobs/co-p0239-vpdes-potw-industrial-waste-water-treatment-compliance-coordinator-richmond-virginia-united-states,2023-02-23
Capital Outlay Reviewer - EE037,Department of General Services,Full-Time (Salaried),NA,"$102,000 - $107,000",General Public - G,Open,NA,Richmond,Washington Building,https://www.jobs.virginia.gov/jobs/capital-outlay-reviewer-ee037-richmond-virginia-united-states,2023-02-23
"Assistant Attorney General, Correctional Litigation Section (OAG00591)",Attorney General & Department of Law,Full-Time (Salaried),NA,Commensurate with experience,General Public - G,Open,NA,"Washington
  Richmond",Office of the Attorney General,https://www.jobs.virginia.gov/jobs/assistant-attorney-general-oag00591-richmond-virginia-united-states,2023-02-23
HR Manager,The Science Museum of Virginia,Full-Time (Salaried),NA,Commensurate with experience,General Public - G,Open,NA,Richmond,2500 West Broad St,https://www.jobs.virginia.gov/jobs/hr-manager-richmond-virginia-united-states-f9fd55a7-58dd-474b-b832-7c0b5add5910,2023-02-23
"Deputy Director, eProcurement Bureau (eVA)",Department of General Services,Full-Time (Salaried),6,"$100,000 to $110,000",General Public - G,Open,NA,Richmond,Patrick Henry Building,https://www.jobs.virginia.gov/jobs/deputy-director-eprocurement-bureau-eva-richmond-virginia-united-states,2023-02-23
Assistant Attorney General / Employment Law - OAG00801,Attorney General & Department of Law,Full-Time (Salaried),NA,Commensurate with experience,General Public - G,Open,NA,Richmond,Office of the Attorney General,https://www.jobs.virginia.gov/jobs/assistant-attorney-general-employment-law-oag00801-richmond-virginia-united-states,2023-02-23
Assistant Attorney General / Employment Law - OAG00802,Attorney General & Department of Law,Full-Time (Salaried),NA,Commensurate with experience,General Public - G,Open,NA,Richmond,Office of the Attorney General,https://www.jobs.virginia.gov/jobs/assistant-attorney-general-employment-law-oag00802-richmond-virginia-united-states,2023-02-23
"Admin Office Specialist III, Correctional Litigation Section (OAG00555)",Attorney General & Department of Law,Full-Time (Salaried),NA,Commensurate with experience,General Public - G,Open,NA,Richmond,Office of the Attorney General,https://www.jobs.virginia.gov/jobs/admin-office-specialist-iii-richmond-virginia-united-states,2023-02-23
Digital Collections Specialist - WWII Separation Notices Digital Project,The Library of Virginia,"Full-Time (Salaried)
              Restricted Full-Time",NA,"$40,000-$50,000",General Public - G,Open,NA,Richmond,The Library of Virginia,https://www.jobs.virginia.gov/jobs/digital-collections-specialist-wwii-separation-notices-digital-project-richmond-virginia-united-states,2023-02-23
Senior IT Procurement Policy Analyst,VA Information Tech Agency,Full-Time (Salaried),NA,"Negotiable to $110,000",General Public - G,Open,NA,Richmond,VA Information Technologies,https://www.jobs.virginia.gov/jobs/senior-it-procurement-policy-analyst-richmond-virginia-united-states,2023-02-23
Deputy State Health Commissioner (Deputy Commissioner for Community Health Services),Department of Health,Full-Time (Salaried),NA,"$195,123 - $226,752",General Public - G,Open,NA,Richmond,VDH-Central Office,https://www.jobs.virginia.gov/jobs/deputy-state-health-commissioner-deputy-commissioner-for-community-health-services-richmond-virginia-united-states,2023-02-23
"State Epidemiologist and Director, Office of Epidemiology",Department of Health,Full-Time (Salaried),NA,"$195,123 - $226,752",General Public - G,Open,NA,Richmond,VDH-Central Office,https://www.jobs.virginia.gov/jobs/state-epidemiologist-and-director-office-of-epidemiology-richmond-virginia-united-states,2023-02-23
Data Governance Manager - 100% REMOTE #W2178,Department of Social Services,Full-Time (Salaried),6,"$85,000 - $110,000/yr. (commensurate with experience)",General Public - G,Open,NA,NA,DSS HOME OFFICE,https://www.jobs.virginia.gov/jobs/data-governance-manager-100-remote-richmond-virginia-united-states,2023-02-23
Procurement Officer #00069,Department of Historic Resources,Full-Time (Salaried),NA,"$50,811 - $130,656",General Public - G,Open,NA,"Outside of State
  Radford
  Rappahannock
  Richmond
  Richmond County
  Roanoke
  Roanoke County
  Rockbridge County
  Rockingham
  Russell
  Salem
  Scott
  Shenandoah
  Smyth
  South Boston
  Southampton
  Spotsylvania
  Stafford
  Staunton
  Suffolk
  Surry
  Sussex
  Tazewell
  Virginia Beach
  Warren
  Washington
  Waynesboro
  Westmoreland
  Williamsburg
  Winchester
  Wise, Virginia
  Wythe
  York

            Outside of State
  Radford
  Rappahannock",Dept Historic Resources - Rich,https://www.jobs.virginia.gov/jobs/procurement-officer-00069-richmond-virginia-united-states,2023-02-23
Investments Senior Compliance Analyst,Virginia Retirement System,Full-Time (Salaried),UG,"$98,197 - $110,000",General Public - G,Open,NA,Richmond,Virginia Retirement System,https://www.jobs.virginia.gov/jobs/investments-senior-compliance-analyst-richmond-virginia-united-states,2023-02-23
Group Violence Intervention (GVI) Coordinator. Programs/Major Crimes &Emerging Threats Section- Metro Richmond (OAG00661),Attorney General & Department of Law,Full-Time (Salaried),NA,Commensurate with experience,General Public - G,Open,NA,Richmond,Office of the Attorney General,https://www.jobs.virginia.gov/jobs/group-violence-intervention-gvi-coordinator-programs-major-crimes-emerging-threats-section-metro-richmond-oag00661-richmond-virginia-united-states,2023-02-23
Staff Attorney - Supreme Court of Virginia - Court Improvement Program,Supreme Court,Full-Time (Salaried),NA,Commensurate with experience,General Public - G,Open,NA,Richmond,Supreme Court,https://www.jobs.virginia.gov/jobs/staff-attorney-supreme-court-of-virginia-court-improvement-richmond-virginia-united-states,2023-02-23
Education Coordinator - Supreme Court of Virginia - Court Improvement Program,Supreme Court,Full-Time (Salaried),NA,Commensurate with experience,General Public - G,Open,NA,Richmond,Supreme Court,https://www.jobs.virginia.gov/jobs/education-coordinator-supreme-court-of-virginia-richmond-virginia-united-states,2023-02-23
American Sign Language Court Interpreter - Northern Virginia,Supreme Court,Full-Time (Salaried),NA,"negotiable to $65,000",General Public - G,Open,NA,Richmond,Supreme Court of Virginia,https://www.jobs.virginia.gov/jobs/american-sign-language-court-interpreter-richmond-virginia-united-states,2023-02-23
Communication Access Realtime Translation Captioner,Supreme Court,Full-Time (Salaried),NA,"negotiable to $65,000",General Public - G,Open,NA,Richmond,Supreme Court of Virginia,https://www.jobs.virginia.gov/jobs/communication-access-realtime-translation-captioner-richmond-virginia-united-states,2023-02-23
"Assistant Attorney General, Tobacco Enforcement Section (OAG00350)",Attorney General & Department of Law,Full-Time (Salaried),NA,Commensurate with experience,General Public - G,Open,NA,Richmond,Office of the Attorney General,https://www.jobs.virginia.gov/jobs/assistant-attorney-general-tobacco-enforcement-section-oag00350-richmond-virginia-united-states,2023-02-23
"Assistant Attorney General, Government Operations and Transactions Division (OAG00671)",Attorney General & Department of Law,Full-Time (Salaried),NA,Commensurate with experience,General Public - G,Open,NA,Richmond,Office of the Attorney General,https://www.jobs.virginia.gov/jobs/assistant-attorney-general-government-operations-and-transactions-division-oag00671-richmond-virginia-united-states,2023-02-23
"Assistant Attorney General, Government Operations and Transactions Division (OAG00672)",Attorney General & Department of Law,Full-Time (Salaried),NA,Commensurate with experience,General Public - G,Open,NA,Richmond,Office of the Attorney General,https://www.jobs.virginia.gov/jobs/assistant-attorney-general-government-operations-and-transactions-division-oag00672-richmond-virginia-united-states,2023-02-23
Human Resource Analyst,Department of Accounts,Full-Time (Salaried),NA,"$38,894-$70,000",General Public - G,Open,NA,Richmond,Richmond,https://www.jobs.virginia.gov/jobs/human-resource-analyst-richmond-virginia-united-states-eb78fd73-42f8-47ea-add3-b7cf1c48f14d,2023-02-23
Charge Card Analyst,Department of Accounts,Full-Time (Salaried),NA,"$50,811- $73,500",General Public - G,Open,NA,Richmond,Richmond,https://www.jobs.virginia.gov/jobs/charge-card-analyst-richmond-virginia-united-states,2023-02-23
Benefits Accountant,Department of Accounts,Full-Time (Salaried),NA,"$38,894-$70,000",General Public - G,Open,NA,Richmond,Richmond,https://www.jobs.virginia.gov/jobs/benefits-accountant-richmond-virginia-united-states,2023-02-23
Technical Team Lead - 00084,Department of General Services,Full-Time (Salaried),NA,"$111,000 - $117,000",General Public - G,Open,NA,Richmond,Monroe Building,https://www.jobs.virginia.gov/jobs/technical-team-lead-00084-richmond-virginia-united-states,2023-02-23
Human Resources Assistant - Supreme Court of Virginia,Supreme Court,Full-Time (Salaried),NA,Commensurate with experience,General Public - G,Open,NA,Richmond,Supreme Court,https://www.jobs.virginia.gov/jobs/human-resources-assistant-supreme-court-of-virginia-richmond-virginia-united-states,2023-02-23
Capital Outlay Project Manager,Department Conservation & Recreation,Full-Time (Salaried),NA,"$72,000 - $90,000",General Public - G,Open,NA,Richmond,Office,https://www.jobs.virginia.gov/jobs/capital-outlay-project-manager-richmond-virginia-united-states,2023-02-23
DMV Special Agent (Law Enforcement Officer II) Multi-Hire,Department of Motor Vehicles,Full-Time (Salaried),4,"$53,000 ($57,240 for Northern Virginia Positions)",General Public - G,Open,NA,Richmond,R1 ENFORCEMENT & COMPLIANCE,https://www.jobs.virginia.gov/jobs/dmv-special-agent-law-enforcement-officer-ii-multi-hire-virginia-united-states-richmond,2023-02-23
